player,elo_Hard,elo_Clay,elo_Grass
Malak El Allami,1500.0,1484.2176932294965,1500.0
Amelia Rajecki,1500.0,1500.0,1485.0279418374187
Carolina Alves,1500.0,1481.886793301418,1500.0
Berfu Cengiz,1500.0,1484.2682094888162,1500.0
Emily Appleton,1500.0,1500.0,1485.000101524315
Celine Naef,1500.0,1500.0,1501.850802850635
Eva Vedder,1500.0,1500.0,1485.0
Filip Misolic,1500.0,1485.9835920008761,1500.0
Matteo Martineau,1500.0,1500.0,1483.0
Mia Ristic,1500.0,1484.3087879212806,1500.0
Irene Burillo Escorihuela,1500.0,1479.2750218388778,1500.0
Panna Udvardy,1500.0,1480.3665384502701,1482.0097932476808
Lucija Ciric Bagaric,1500.0,1482.7746508223217,1500.0
Julia Avdeeva,1500.0,1486.6016573042086,1500.0
Henry Searle,1500.0,1500.0,1463.8009596959564
Alison Van Uytvanck,1500.0,1463.6476571857104,1465.8629333220458
Charles Broom,1500.0,1500.0,1464.5449289500777
Federica Di Sarra,1500.0,1481.047973172106,1500.0
Georgia Pedone,1500.0,1482.0068438192848,1500.0
Sebastian Fanselow,1500.0,1482.492783013592,1500.0
Maxime Janvier,1500.0,1500.0,1479.9241872928576
Arthur Fery,1500.0,1500.0,1480.0
Andrea Pellegrino,1500.0,1483.7100075114395,1500.0
Nikolas Sanchez Izquierdo,1500.0,1485.4688315159165,1500.0
Joaquin  Aguilar Cardozo ,1500.0,1482.3892680536708,1500.0
Lisa Pigato,1500.0,1481.1965950900724,1500.0
Javier Barranco Cosano,1500.0,1481.5716995157431,1500.0
Giles Hussey,1500.0,1500.0,1497.9456963833406
Noma Noha Akugue,1500.0,1493.3216883313419,1500.0
Paul Jubb,1500.0,1500.0,1507.6141690317604
Sebastian Dominko,1499.410256560357,1500.0,1500.0
Lina Glushko,1499.3947068218154,1500.0,1500.0
Chris Rodesch,1499.3806920701602,1499.3528000084657,1500.0
Alan Fernando Rubio Fierros,1499.348505987397,1500.0,1500.0
Justin Engel,1499.2071290955487,1500.0,1500.0
Rafael Nadal,1499.1796735540893,1567.3468711829833,1500.0
Andres Andrade,1499.0863258921593,1515.0,1500.0
Arantxa Rus,1498.8915021445018,1494.6171890757598,1463.3609066498914
Mark Lajal,1498.883524128936,1500.0,1480.3014635462578
Mirza Basic,1498.818866200181,1500.0,1500.0
Yuriko Miyazaki,1498.212921145959,1500.0,1475.3966734339947
Kamil Majchrzak,1497.9022867613282,1500.0,1500.0
Julia Riera,1497.7891011226498,1488.6748352980999,1479.2906619335338
Nuria Parrizas Diaz,1497.7105302170294,1483.5425983913058,1500.0
Roberto Carballes Baena,1497.5770667951333,1535.1855843473343,1483.7838955854816
Benoit Paire,1497.4955808465184,1481.404499168829,1502.3296530373793
Seong Chan Hong,1497.4187051949234,1500.0,1500.0
Sijia Wei,1497.1909419223082,1500.0,1500.0
Alex Bolt,1496.8409099059725,1500.0,1503.4208229863864
Yi Zhou,1496.6907972987424,1500.0,1500.0
Aristotelis Thanos,1496.6062368079536,1500.0,1500.0
Marketa Vondrousova,1496.5810968600952,1578.6506191167728,1480.3052270648302
Maja Chwalinska,1496.5162045910565,1482.1993393767118,1500.0
Leo Borg,1496.3280140614777,1483.888124532778,1500.0
Mikhail Kukushkin,1496.1801314712775,1477.1032911500472,1500.0
Duje Ajdukovic,1496.0405102124569,1497.8386849814046,1500.0
Alexander Shevchenko,1495.9914917570024,1463.3851807160518,1481.83505053789
Elina Avanesyan,1495.828366049465,1570.4950807092548,1479.2830419021861
Xiyu Wang,1495.6696143013783,1520.087959307169,1480.972526239608
Pierre Hugues Herbert,1495.1701005281461,1482.6759345736525,1483.0406678249533
Elias Ymer,1495.1139435583611,1481.5618688247332,1483.6239327073654
Coleman Wong,1494.8805617857895,1500.0,1485.340598855388
Camila Giorgi,1494.7701643930066,1500.0,1500.0
Arianne Hartono,1494.7231252909392,1500.0,1500.0
Jodie Burrage,1494.5863351429907,1500.0,1500.0
Aleksandar Vukic,1494.5644584815916,1450.035313218124,1556.1064628221702
Christopher Eubanks,1493.9317197175546,1405.1864266184925,1491.317973322263
Lin Zhu,1493.8155001426576,1434.373742038339,1509.4525122803122
Thiago Seyboth Wild,1492.965986636695,1477.287275432542,1505.1741494746962
Joel Schwaerzler,1492.0838473607814,1481.629253282373,1500.0
Nuno Borges,1492.0470592211366,1576.4105277725832,1448.4821430556453
Jozef Kovalik,1491.6112498652742,1505.498720919176,1500.0
Jule Niemeier,1491.585849243967,1480.2315845805101,1487.6063160628767
Kyoka Okamura,1491.1186981675319,1500.0,1500.0
Carol Zhao,1490.89324926443,1500.0,1500.0
Nishesh Basavareddy,1490.845265181612,1500.0,1500.0
Anna Danilina,1490.7932253335011,1500.0,1500.0
Heather Watson,1490.7201487838277,1500.0,1466.6352328786643
Sofia Kenin,1489.9260279035757,1515.149592767311,1467.8864717152396
Emiliana Arango,1489.8156828626659,1472.8330311107545,1484.32844942841
Lucas Pouille,1489.4192239276874,1483.8311456781025,1521.550110211261
Katherine Hui,1489.210766858552,1500.0,1500.0
Lulu Sun,1489.0487888284488,1482.6809102503196,1559.9705151224325
Timea Babos,1488.7996187695755,1484.3250016811016,1500.0
Clara Tauson,1488.7658931556184,1519.841312409968,1465.8629333220458
Kyrian Jacquet,1488.2668887240864,1500.0,1500.0
Olivia Gadecki,1488.252760845885,1466.296320418886,1480.866069207166
Renata Zarazua,1488.2371237973605,1468.1873071397442,1483.095352596147
