player,elo_Hard,elo_Clay,elo_Grass
a. dougaz,1515.0,1485.8961698054804,1500.0
m. echargui,1515.0,1476.768261704837,1500.0
s. christodoulou,1515.0,1500.0,1500.0
j. loutit,1515.0,1500.0,1500.0
m. arevalo,1515.0,1500.0,1500.0
b. badza,1515.0,1500.0,1500.0
d. duran,1515.0,1500.0,1500.0
j. vasquez,1515.0,1485.0,1500.0
r. bertola,1515.0,1500.0,1500.0
e. benchetrit,1515.0,1468.73336383362,1500.0
l. miedler,1515.0,1500.0,1500.0
p. nesterov,1515.0,1485.0,1500.0
y. dlimi,1515.0,1485.0,1500.0
v. durasovic,1515.0,1500.0,1500.0
m. pawelski,1515.0,1500.0,1500.0
a. celikbilek,1515.0,1500.0,1500.0
h. wong,1515.0,1500.0,1500.0
m. dodig,1514.9453663127076,1503.670034383968,1500.0
s. hunter,1514.750194887424,1500.0,1500.0
a. holmgren,1514.7084909449784,1499.3528000084657,1500.0
l. ajavon,1514.3528000084657,1500.0,1500.0
y. erel,1514.3528000084657,1484.3315790545228,1500.0
m. raonic,1513.9332554912403,1480.660505702289,1514.6630262060569
n. stojanovic,1513.7112722812792,1480.6068266170437,1500.0
d. azoides,1513.520736375992,1500.0,1500.0
a. fokina,1513.4672570942546,1483.942349027563,1483.0
y. watanuki,1512.3179612248991,1484.3806920701602,1500.0
d. stricker,1511.742265011825,1481.7101334397455,1482.1274277776763
m. stakusic,1510.9600733660222,1485.0,1481.4027698912946
y. wu,1510.6482846611505,1483.0,1500.0
a. korneeva,1510.0444429731822,1500.0,1500.0
a. ito,1509.67735599283,1500.0,1500.0
j. teichmann,1509.6003755571785,1499.669753892494,1500.0
a. ruzic,1509.5801535370758,1500.0,1500.0
l. djere,1508.8249909866774,1441.318625408242,1464.4753338340845
y. nishioka,1508.766419430181,1479.0883225716684,1515.0197782392297
p. kypson,1508.6611438785142,1482.2844501753464,1500.0
t. etcheverry,1508.4173445949405,1576.3648629091565,1469.91189831642
a. vavassori,1508.1577382264093,1489.3248630840849,1500.0
d. koepfer,1507.6643954337978,1493.4367206575057,1501.463044263815
r. safiullin,1507.5269597662757,1464.9203270739058,1488.6642330703392
l. siegemund,1507.337688517428,1468.985416041969,1502.3540747414131
j. maneiro,1504.964231870366,1461.328855924118,1520.593023944394
m. kessler,1504.6312713761156,1487.585699413623,1478.641551945665
f. aliassime,1504.45725273724,1636.2922503980906,1462.9038681029765
m. bellucci,1504.207021025139,1478.3111583552138,1478.2376462916554
l. samsonova,1503.150026273983,1524.9315432252592,1564.6103864605802
j. kym,1503.1084817601995,1500.0,1500.0
i. xilas,1502.959275247777,1500.0,1500.0
a. tabilo,1502.698464747576,1514.092838043525,1573.951683022602
m. landaluce,1502.6670834014324,1462.4114802005906,1500.0
v. pospisil,1502.0954706496373,1500.0,1500.0
m. mmoh,1502.0868408577312,1514.6835517413112,1500.0
k. juvan,1501.8597056037534,1500.0,1500.0
d. cukierman,1501.7924133067218,1500.0,1500.0
g. boitan,1501.4080326465744,1500.0,1500.0
p. ruiz,1501.2157306294337,1498.1091924474094,1500.0
s. ishii,1501.1469830916956,1500.0,1500.0
m. linette,1500.883242337731,1600.461802929097,1466.0987921927274
l. riedi,1500.595464884163,1504.2196804844064,1500.0
i. jovic,1500.4455459136036,1500.0,1500.0
j. fearnley,1500.347301981141,1500.0,1487.2894087359805
d. semenistaja,1500.287658675835,1501.425134112235,1500.0
f. gomez,1500.1054124257466,1483.0350271136865,1500.0
i. gakhov,1500.0,1483.0460188887037,1500.0
i. bara,1500.0,1497.5568585849,1500.0
k. zavatska,1500.0,1457.056575376448,1500.0
m. rehberg,1500.0,1482.1688543218977,1500.0
m. gigante,1500.0,1484.3613664344227,1500.0
a. canas,1500.0,1498.212936697923,1478.0090339016217
r. molleker,1500.0,1481.2896676741448,1500.0
a. ritschard,1500.0,1483.0,1500.0
a. robbe,1500.0,1484.329714846798,1500.0
g. brouwer,1500.0,1483.0,1499.0947881119712
c. taberner,1500.0,1486.7409583610593,1500.0
d. rincon,1500.0,1485.57971762417,1500.0
d. sanchis,1500.0,1500.8311456781023,1500.0
g. lee,1500.0,1488.0,1500.0
a. sharma,1500.0,1507.9945372860377,1500.0
n. hardt,1500.0,1489.286539257955,1500.0
m. topo,1500.0,1483.0,1500.0
v. strakhova,1500.0,1486.2716029255134,1500.0
v. arias,1500.0,1485.0,1500.0
m. barraza,1500.0,1485.0,1500.0
h. dellien,1500.0,1469.3679435160905,1500.0
f. bagnis,1500.0,1529.7215795341233,1500.0
d. popko,1500.0,1470.6471999915343,1500.0
a. qureshi,1500.0,1500.0,1485.0
n. poonacha,1500.0,1500.0,1515.0
j. angelo,1500.0,1515.0,1500.0
m. jones,1500.0,1485.0,1500.0
m. velasco,1500.0,1499.9099136817922,1500.0
w. trongcharoenchaikul,1500.0,1485.0,1500.0
b. arias,1500.0,1515.0,1500.0
t. chanta,1500.0,1485.0,1500.0
d. vallejo,1500.0,1500.0,1500.0
b. balleret,1500.0,1500.6471999915343,1500.0
v. vacherot,1500.0,1471.7641795092657,1500.0
m. puerto,1500.0,1485.0,1500.0
k. loglo,1500.0,1500.0,1500.0
f. roncadelli,1500.0,1528.0034483826496,1500.0
r. burruchaga,1500.0,1468.1864604286452,1500.0
j. cerundolo,1500.0,1489.5583073032594,1500.0
m. sobhy,1500.0,1485.0,1500.0
a. molcan,1500.0,1499.3304666894996,1500.0
n. brancaccio,1500.0,1440.1465705446572,1500.0
i. shymanovich,1500.0,1468.733493323739,1500.0
y. monroy,1500.0,1485.0,1500.0
f. jones,1500.0,1500.0,1495.2423151972907
h. nadaf,1500.0,1485.6750875700438,1500.0
l. pokorny,1500.0,1515.0,1500.0
o. ojakaar,1500.0,1529.9721124214905,1500.0
s. moghimi,1500.0,1499.3528000084657,1500.0
f. passaro,1500.0,1488.3007113883957,1500.0
m. safwat,1500.0,1515.0278875785095,1500.0
a. meza,1500.0,1485.0,1500.0
a. mohamed,1500.0,1500.027941837419,1500.0
e. gomez,1500.0,1485.0,1500.0
h. habib,1500.0,1491.293785297245,1500.0
p. henning,1500.0,1469.0137477036203,1500.0
k. wyk,1500.0,1500.0,1500.0
f. alves,1500.0,1472.77397657149,1480.0
o. otte,1500.0,1500.0,1483.0
s. napolitano,1500.0,1497.460277770404,1483.0
v. bosio,1500.0,1481.8384132929664,1500.0
t. wurth,1500.0,1485.6081205829146,1500.0
